TWA;0;2;4;5;8;10;12;14;16;18;20;22;24;25;26;28;30;32;35;40;50;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;1.68;3.31;3.93;5.06;5.61;6.29;6.49;6.59;6.69;6.88;6.99;7.08;7.08;7.18;7.18;7.28;7.28;7.28;7.28;6.55;5.89;3.25
35;0;2.11;4.17;5.04;6.27;7;7.94;8.43;8.55;8.57;8.68;8.96;8.76;9.02;9.09;8.85;9.22;8.95;8.95;9.3;8.15;7.33;4.33
40;0;2.46;5.02;6;7.35;8.25;9.21;9.74;9.94;10.13;10.33;10.53;10.62;10.72;10.72;10.82;10.92;10.92;11.01;10.76;9.54;8.64;5.08
45;0;2.75;5.56;6.59;8.3;8.95;9.83;10.23;10.6;10.8;10.98;11.12;11.21;11.31;11.31;11.41;11.69;11.6;11.71;11.83;10.53;9.48;5.6
50;0;2.95;6;7.06;8.76;9.35;10.23;10.62;11.01;11.21;11.41;11.6;11.8;11.9;12;12.1;12.3;12.39;12.49;12.58;11.32;10.19;6.01
55;0;3.15;6.4;7.47;9.15;9.64;10.62;10.92;11.31;11.6;11.9;12.1;12.39;12.49;12.59;12.78;13.08;13.17;13.37;13.48;12.12;10.92;6.44
60;0;3.34;6.69;7.77;9.44;9.94;10.92;11.31;11.71;12;12.3;12.59;13.11;13.08;13.24;13.48;13.76;13.96;14.26;14.47;13.08;11.71;6.93
65;0;3.48;6.91;8.06;9.7;10.23;11.21;11.71;12.1;12.49;12.89;13.28;13.73;13.87;14.07;14.35;14.75;15.14;15.54;15.64;14.07;12.67;7.47
70;0;3.64;7.18;8.26;9.95;10.51;11.6;11.99;12.49;12.98;13.47;13.96;14.46;14.66;14.85;15.26;15.73;16.23;16.71;16.89;15.18;13.78;8.07
75;0;3.74;7.28;8.36;10.22;10.72;11.8;12.39;12.88;13.48;14.07;14.55;15.05;15.34;15.54;16.03;16.52;17.11;17.61;17.9;16.1;14.49;8.56
80;0;3.84;7.38;8.46;10.43;11.05;12;12.69;13.28;13.96;14.55;15.14;15.83;16.12;16.39;16.85;17.31;17.89;18.49;18.79;16.9;15.21;8.98
85;0;3.82;7.38;8.46;10.7;11.31;12.19;12.98;13.67;14.46;15.25;15.93;16.62;16.91;17.21;17.7;18.2;18.68;19.18;19.47;17.52;15.77;9.32
