TWA;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.12;0.15;0.18;0.2;0.23;0.26;0.29;0.32;0.35;0.38;0.41;0.44;0.47;0.5;0.53;0.55;0.58;0.61;0.5;0.67;0.7;0.73;0.72;0.57;0.56;0.62;0.64;0.67;0.68;0.56;0.35
16;0;0.42;0.52;0.62;0.73;0.83;0.94;1.04;1.14;1.25;1.35;1.46;1.56;1.66;1.77;1.87;1.98;2.08;2.18;1.83;2.39;2.5;2.6;2.56;2.07;2.04;2.22;2.3;2.4;2.44;1.48;1.26
24;0;0.83;1.03;1.24;1.45;1.65;1.86;2.07;2.27;2.48;2.69;2.9;3.1;3.31;3.52;3.72;3.93;4.14;4.34;3.73;4.76;4.96;5.17;5.09;4.24;4.17;4.51;4.66;4.85;4.88;3.14;2.52
32;0;1.28;1.6;1.92;2.25;2.57;2.89;3.21;3.53;3.85;4.17;4.49;4.81;5.13;5.45;5.77;6.1;6.42;6.74;5.98;7.38;7.63;8.02;7.9;6.85;6.74;7.2;7.44;7.69;7.62;5.1;3.94
40;0;1.7;2.12;2.54;2.97;3.39;3.82;4.24;4.66;5.09;5.51;5.94;6.36;6.78;7.21;7.63;8.06;8.48;8.9;8.35;9.44;9.62;10.6;10.45;9.64;9.49;9.97;10.3;10.53;10.22;7.2;5.28
41;0;1.74;2.17;2.61;3.04;3.48;3.91;4.35;4.78;5.22;5.65;6.09;6.52;6.96;7.39;7.83;8.26;8.7;9.13;8.64;9.6;9.78;10.87;10.71;9.98;9.83;10.3;10.64;10.86;10.5;7.56;5.43
44;0;1.85;2.31;2.77;3.24;3.7;4.16;4.62;5.09;5.55;6.01;6.47;6.94;7.4;7.86;8.32;8.79;9.25;9.71;9.48;10.03;10.21;11.56;11.38;11;10.83;11.24;11.61;11.79;11.25;8.38;5.81
45;0;1.88;2.34;2.81;3.28;3.75;4.22;4.69;5.16;5.63;6.09;6.56;7.03;7.5;7.97;8.44;8.91;9.38;9.84;9.74;10.18;10.36;11.72;11.58;11.33;11.15;11.53;11.91;12.07;11.43;8.6;5.91
