TWA;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0.07;0.08;0.09;0.1;0.03;0.04;0.04;0.04;0.04;0.04;0.05;0.05;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0;0;0;0;0;0;0;0;0;0;0
32;0;0.24;0.27;0.31;0.32;0.12;0.14;0.15;0.16;0.16;0.17;0.18;0.19;0.06;0.06;0.07;0.07;0.07;0.07;0.07;0.07;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0;0;0;0
40;0;0.64;0.71;0.79;0.84;0.36;0.4;0.43;0.46;0.49;0.52;0.54;0.56;0.21;0.22;0.23;0.24;0.24;0.24;0.25;0.25;0.08;0.08;0.08;0.08;0.08;0.09;0.09;0.02;0.02;0.01;0
41;0;0.71;0.79;0.88;0.93;0.4;0.46;0.49;0.52;0.55;0.59;0.6;0.64;0.25;0.26;0.27;0.27;0.27;0.28;0.29;0.29;0.09;0.1;0.1;0.1;0.1;0.1;0.1;0.03;0.02;0.01;0
44;0;0.95;1.07;1.19;1.25;0.57;0.65;0.7;0.74;0.79;0.83;0.86;0.9;0.37;0.38;0.4;0.41;0.41;0.42;0.43;0.44;0.15;0.15;0.15;0.16;0.16;0.16;0.16;0.05;0.04;0.01;0
45;0;1.05;1.17;1.31;1.37;0.64;0.72;0.78;0.83;0.88;0.93;0.96;1.01;0.42;0.43;0.46;0.46;0.46;0.48;0.49;0.5;0.17;0.18;0.18;0.18;0.18;0.19;0.19;0.06;0.05;0.02;0
46;0;1.13;1.27;1.42;1.49;0.71;0.81;0.87;0.93;0.98;1.03;1.07;1.12;0.48;0.49;0.52;0.52;0.53;0.54;0.55;0.56;0.2;0.2;0.21;0.21;0.21;0.21;0.21;0.07;0.06;0.02;0
