TWA;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0.14;0.06;0.06;0.07;0.07;0.08;0.08;0.03;0.03;0.03;0.03;0.03;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0.49;0.24;0.26;0.28;0.3;0.33;0.35;0.14;0.14;0.15;0.16;0.16;0.05;0.05;0.06;0.06;0.06;0.06;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0;0
32;0;1.25;0.68;0.77;0.81;0.88;0.95;1.01;0.46;0.48;0.49;0.52;0.54;0.21;0.21;0.22;0.22;0.23;0.24;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.07;0.06;0.02;0
40;0;2.32;1.56;1.74;1.84;2;2.17;2.3;1.2;1.24;1.29;1.35;1.41;0.62;0.63;0.66;0.67;0.68;0.7;0.26;0.27;0.27;0.28;0.29;0.29;0.29;0.28;0.27;0.24;0.2;0.07;0
41;0;2.47;1.68;1.88;1.98;2.16;2.34;2.47;1.33;1.37;1.43;1.5;1.57;0.7;0.72;0.74;0.76;0.77;0.8;0.3;0.31;0.31;0.32;0.33;0.34;0.33;0.32;0.31;0.27;0.23;0.08;0
44;0;2.93;2.07;2.32;2.45;2.67;2.89;3.06;1.79;1.85;1.93;2.02;2.11;0.99;1.02;1.05;1.08;1.09;1.13;0.45;0.46;0.47;0.48;0.5;0.5;0.49;0.48;0.47;0.41;0.35;0.12;0
45;0;3.1;2.22;2.48;2.62;2.86;3.09;3.27;1.97;2.03;2.12;2.21;2.32;1.11;1.14;1.18;1.2;1.22;1.26;0.51;0.52;0.53;0.55;0.56;0.57;0.56;0.55;0.53;0.47;0.4;0.13;0
46;0;3.26;2.37;2.65;2.8;3.05;3.3;3.5;2.13;2.2;2.29;2.4;2.51;1.23;1.26;1.31;1.34;1.36;1.4;0.58;0.59;0.61;0.62;0.64;0.65;0.63;0.62;0.6;0.53;0.45;0.15;0
