TWA;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.17;0.22;0.26;0.3;0.34;0.35;0.43;0.45;0.66;0.69;0.7;0.71;0.73;0.75;0.79;0.81;0.79;0.69;0.56;0.81;0.82;0.73;0.65;0.51;0.5;0.56;0.58;0.57;0.49;0.16;0
16;0;0.63;0.79;0.94;1.1;1.26;1.28;1.57;1.63;2.3;2.4;2.46;2.51;2.57;2.63;2.77;2.83;2.78;2.47;2.03;2.83;2.88;2.6;2.3;1.86;1.84;2;2.07;2.02;1.73;0.58;0
24;0;1.28;1.61;1.93;2.25;2.57;2.64;3.21;3.33;4.49;4.69;4.8;4.89;5.01;5.13;5.37;5.48;5.42;4.91;4.14;5.53;5.63;5.17;4.58;3.82;3.75;4.06;4.19;4.02;3.45;1.15;0
32;0;2.07;2.59;3.11;3.63;4.14;4.29;5.18;5.38;6.76;7.07;7.23;7.36;7.55;7.73;8;8.09;8.16;7.61;6.64;8.32;8.48;8.02;7.11;6.17;6.07;6.48;6.7;6.24;5.35;1.78;0
40;0;2.92;3.65;4.37;5.1;5.83;6.14;7.29;7.57;8.53;8.91;9.12;9.28;9.52;9.75;9.83;10.04;10.29;10.06;9.28;10.49;10.69;10.6;9.41;8.68;8.54;8.97;9.27;8.24;7.07;2.36;0
41;0;3.02;3.78;4.54;5.29;6.05;6.37;7.56;7.84;8.67;9.06;9.27;9.44;9.68;9.91;10.02;10.24;10.46;10.32;9.6;10.67;10.87;10.87;9.64;8.98;8.85;9.27;9.58;8.45;7.25;2.42;0
44;0;3.33;4.16;4.99;5.82;6.66;7.07;8.32;8.64;9.18;9.47;9.66;9.83;10.1;10.34;10.45;10.71;10.91;10.97;10.53;11.14;11.34;11.56;10.24;9.9;9.75;10.12;10.28;8.99;7.71;2.57;0
45;0;3.43;4.29;5.14;6;6.86;7.31;8.57;8.89;9.35;9.58;9.81;9.99;10.22;10.5;10.61;10.82;11.04;11.12;10.82;11.31;11.51;11.72;10.42;10.2;10.04;10.38;10.42;9.12;7.81;2.6;0
